,0
0,44.0
1,46.0
2,47.0
3,47.0
4,26.0
5,46.0
6,23.0
7,38.0
8,33.0
9,43.0
10,20.0
11,35.0
12,15.0
13,18.0
14,28.0
15,29.0
16,15.0
17,31.0
18,30.0
19,28.0
20,36.0
21,31.0
22,24.0
23,39.0
24,27.0
25,34.0
26,30.0
27,34.0
28,27.0
29,24.0
30,24.0
31,33.0
32,39.0
33,56.0
34,39.0
35,55.0
36,37.0
37,33.0
38,44.0
39,37.0
40,26.0
41,40.0
42,22.0
43,27.0
44,31.0
45,29.0
46,21.0
47,18.0
48,28.0
49,11.0
50,25.0
51,38.0
52,20.0
53,21.0
54,19.0
55,33.0
56,31.0
57,41.0
58,34.0
59,35.0
60,24.0
61,38.0
62,24.0
63,45.0
64,27.0
65,29.0
66,32.0
67,24.0
68,44.0
69,33.0
70,31.0
71,37.0
72,21.0
73,40.0
74,33.0
75,44.0
76,39.0
77,38.0
78,37.0
79,16.0
80,31.0
81,27.0
82,33.0
83,29.0
84,28.0
85,14.0
86,17.0
87,35.0
88,25.0
89,27.0
90,20.0
91,23.0
92,25.0
93,32.0
94,17.0
95,31.0
96,24.0
97,27.0
98,31.0
99,36.0
100,20.0
101,37.0
102,40.0
103,28.0
104,27.0
105,28.0
106,45.0
107,31.0
108,29.0
109,30.0
110,44.0
111,37.0
112,38.0
113,33.0
114,35.0
115,31.0
116,32.0
117,24.0
118,32.0
119,38.0
120,39.0
121,36.0
122,22.0
123,23.0
124,41.0
125,25.0
126,36.0
127,45.0
128,29.0
129,35.0
130,34.0
131,30.0
132,23.0
133,38.0
134,31.0
135,35.0
136,32.0
137,31.0
138,38.0
139,19.0
140,47.0
141,19.0
142,35.0
143,34.0
144,19.0
145,48.0
146,33.0
147,31.0
148,35.0
149,46.0
150,43.0
151,30.0
152,25.0
153,37.0
154,38.0
155,36.0
156,37.0
157,44.0
158,42.0
159,42.0
160,36.0
161,23.0
162,37.0
163,40.0
164,25.0
165,36.0
166,37.0
167,28.0
