,0,
0,IMG1_0P,0P_1
1,IMG2_0P,0P_2
2,IMG3_0P,0P_3
3,IMG4_0P,0P_4
4,IMG5_6P,6P_1
5,IMG6_6P,6P_2
6,IMG7_6P,6P_3
7,IMG8_6P,6P_4
8,IMG9_30P,30P_1
9,IMG10_30,30P_2
10,IMG11_30P,30P_3
11,IMG12_30P,30P_4
12,IMG13_60P,60P_1
13,IMG14_60P,60P_2
14,IMG15_60P,60P_3
15,IMG16_60P,60P_4
16,IMG17_Ca-P,Ca-P_1
17,IMG18_Ca-P,Ca-P_2
18,IMG19_Ca-P,Ca-P_3
19,IMG20_Ca-P,Ca-P_4
20,IMG21_Fe-P,Fe-P_1
21,IMG22_Fe-P,Fe-P_2
22,IMG23_Fe-P,Fe-P_3
23,IMG24_Fe-P,Fe-P_4
24,IMG25_Al-P,Al-P_1
25,IMG26_Al-P,Al-P_2
26,IMG27_Al-P,Al-P_3
27,IMG28_Al-P,Al-P_4
